date_time,cpu_percent,mem_percent,cpu_average,pid_len,cpu_listval
2023-05-30 11:10:09,32.4,54.3,38.27,304,"48.5,75.3,46.9,14.1,32.3,26.6,40.6,21.9"
2023-05-30 11:10:21,26.9,54.2,21.25,303,"79.6,6.2,24.2,6.2,33.8,9.2,7.7,3.1"
2023-05-30 11:10:33,24.2,54.3,19.66,306,"74.5,4.6,27.3,6.2,16.9,10.8,10.8,6.2"
2023-05-30 11:10:45,23.9,54.4,22.11,306,"74.5,1.5,21.5,4.6,25.8,26.0,13.8,9.2"
2023-05-30 11:10:57,22.6,54.5,24.28,307,"65.8,9.2,56.0,9.4,16.9,13.8,12.3,10.8"
2023-05-30 11:11:09,26.8,55.1,22.4,307,"61.3,12.5,46.2,10.8,21.9,7.8,6.2,12.5"
2023-05-30 11:11:21,26.6,54.6,21.22,307,"78.1,4.6,18.5,9.2,33.3,9.2,12.3,4.6"
2023-05-30 11:11:33,30.1,54.5,40.07,307,"48.5,77.3,42.2,25.0,29.7,40.6,35.4,21.9"
2023-05-30 11:11:45,25.0,54.6,22.74,305,"74.5,16.7,27.7,4.6,33.8,9.2,9.2,6.2"
2023-05-30 11:11:57,26.5,54.7,22.53,304,"81.9,1.5,29.2,9.2,24.6,4.6,12.3,16.9"
2023-05-30 11:12:09,28.2,54.5,26.94,303,"64.6,3.1,30.3,3.1,26.2,1.5,7.7,79.0"
2023-05-30 11:12:21,29.3,54.5,24.92,304,"70.5,12.1,41.2,4.6,21.2,23.6,18.5,7.7"
2023-05-30 11:12:34,27.2,54.5,26.69,305,"55.4,12.5,32.8,15.6,29.7,37.8,15.6,14.1"
2023-05-30 11:12:46,25.2,54.5,29.94,305,"66.2,9.1,22.4,6.2,49.3,64.9,15.2,6.2"
2023-05-30 11:12:58,28.5,54.5,24.65,305,"70.8,15.6,35.9,10.9,29.7,7.8,15.6,10.9"
2023-05-30 11:13:10,23.0,54.5,22.15,306,"80.8,7.8,24.6,3.1,39.1,6.2,10.9,4.7"
2023-05-30 11:13:22,28.5,54.0,23.56,305,"60.0,6.2,54.7,13.8,23.1,4.6,13.8,12.3"
2023-05-30 11:13:34,26.7,54.1,30.09,304,"52.1,23.1,35.3,25.4,26.2,20.0,38.6,20.0"
2023-05-30 11:13:46,24.7,54.0,26.94,302,"77.5,9.2,26.2,7.7,36.9,6.2,12.3,39.5"
2023-05-30 11:13:58,39.0,54.0,15.77,302,"34.3,9.4,15.4,7.8,23.4,10.9,12.5,12.5"
2023-05-30 11:14:10,24.4,53.9,17.84,302,"37.1,9.4,25.8,14.1,18.5,7.8,10.9,19.1"
2023-05-30 11:14:22,35.7,54.2,22.88,304,"33.3,13.8,51.2,16.9,10.8,20.0,26.2,10.8"
2023-05-30 11:14:34,27.2,53.2,30.71,304,"42.0,26.6,42.6,26.2,39.1,22.4,23.4,23.4"
2023-05-30 11:14:46,26.4,52.4,22.69,304,"70.9,3.1,42.5,7.7,32.8,9.2,9.2,6.1"
2023-05-30 11:14:58,24.7,52.2,23.0,303,"74.0,10.8,27.7,10.8,26.9,4.6,16.9,12.3"
2023-05-30 11:15:10,28.3,52.6,44.6,310,"40.0,30.8,60.0,72.8,39.4,33.8,44.6,35.4"
2023-05-30 11:15:22,37.2,52.7,19.94,309,"31.8,22.1,23.1,15.4,16.7,12.3,27.3,10.8"
2023-05-30 11:15:34,21.6,53.3,20.57,311,"39.1,9.4,51.6,7.8,12.5,10.9,23.9,9.4"
2023-05-30 11:15:46,16.3,54.1,33.94,310,"31.2,35.9,43.8,65.6,21.9,23.4,26.6,23.1"
2023-05-30 11:15:58,16.9,54.7,23.79,310,"20.9,40.6,52.1,15.6,36.1,7.8,7.8,9.4"
2023-05-30 11:16:10,29.8,55.6,27.33,312,"27.7,15.4,74.5,30.3,13.8,13.8,18.5,24.6"
2023-05-30 11:16:22,31.1,55.6,30.2,313,"43.3,43.4,32.8,23.4,41.1,14.1,29.7,13.8"
